Team,League,Roster ID,Default Image,Division Name
Georgetown,NCAA IVY,5,https://1000logos.net/wp-content/uploads/2021/06/Georgetown-Hoyas-logo.png,Rich
Georgia,NCAA SEC,7,https://1000logos.net/wp-content/uploads/2021/06/Georgia-Bulldogs-logo.png,East
Georgia Southern,NCAA SUN BELT,7,https://1000logos.net/wp-content/uploads/2021/06/Georgia-Southern-Eagles-logo.png,Bible
Georgia State,NCAA USA,5,https://1000logos.net/wp-content/uploads/2021/06/Georgia-State-Panthers-logo.png,Twister
Georgia Tech,NCAA ACC,3,https://1000logos.net/wp-content/uploads/2021/06/Georgia-Tech-Yellow-Jackets-logo.png,#N/A
Grambling State,NCAA HISTORICALLY BLACK,12,https://1000logos.net/wp-content/uploads/2019/11/Grambling-State-Tigers-logo.png,Mississippi River
Harvard,NCAA IVY,2,https://1000logos.net/wp-content/uploads/2022/02/Harvard-Crimson-logo.png,Smart
Hawaii,NCAA MOUNTAIN WEST,1,https://1000logos.net/wp-content/uploads/2021/06/Hawaii-Warriors-logo.png,Saint
Holy Cross,NCAA PIONEER,2,https://1000logos.net/wp-content/uploads/2021/11/Holy-Cross-Crusaders-Logo.png,Patriot
Howard,NCAA HISTORICALLY BLACK,6,https://1000logos.net/wp-content/uploads/2021/06/Howard-Bison-logo.png,Hurricane
Fresno State,NCAA MOUNTAIN WEST,7,https://1000logos.net/wp-content/uploads/2021/06/Idaho-Vandals-logo.png,#N/A
Illinois,NCAA BIG 10,10,https://1000logos.net/wp-content/uploads/2019/11/Fresno-State-Bulldogs-Logo-500x281.png,West
Indiana,NCAA BIG 10,8,https://1000logos.net/wp-content/uploads/2021/06/Indiana-Hoosiers-logo.png,East
Iowa,NCAA BIG 10,11,https://1000logos.net/wp-content/uploads/2021/06/Iowa-Hawkeyes-logo.png,West
Iowa State,NCAA BIG 12,2,https://1000logos.net/wp-content/uploads/2021/06/Iowa-State-Cyclones-logo.png,Wind
Jackson State,NCAA HISTORICALLY BLACK,10,https://1000logos.net/wp-content/uploads/2021/06/Jackson-State-Tigers-logo.png,Hurricane
Jacksonville State,NCAA OHIO VALLEY,9,https://1000logos.net/wp-content/uploads/2022/02/Jacksonville-State-Gamecocks-logo.png,Yankee
James Madison,NCAA WILD,2,https://1000logos.net/wp-content/uploads/2021/06/James-Madison-Dukes-logo.png,Valley
Kansas,NCAA BIG 12,10,https://1000logos.net/wp-content/uploads/2021/06/Kansas-Jayhawks-logo.png,Wind
Kansas State,NCAA BIG 12,7,https://1000logos.net/wp-content/uploads/2022/02/Kansas-State-Wildcats-logo.png,Wind
