Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,Division,DivisionName,Wins,Losses,PointsFor,PointsAgainst
2026,1331774880181399552,NCAA BIG 12,8,543929284962770944,alicho,1,HEAT,2,0,320.12,246.58
2026,1331774880181399552,NCAA BIG 12,9,453711063846744064,rchau56,2,WIND,1,1,188.04,241.86
2026,1331774880181399552,NCAA BIG 12,10,989926421084557312,FalconsRULE7,2,WIND,0,2,157.68,262.68
2026,1331774880181399552,NCAA BIG 12,11,619190004979138560,CousinMose15,1,HEAT,1,1,276.58,241.14
2026,1331774880181399552,NCAA BIG 12,12,820771678849171456,Gangly22,2,WIND,0,2,216.54,301.06
2026,1331774846710849536,NCAA SUN BELT,1,751973682779508736,bruceble,2,REBEL,1,1,273.82,275.86
2026,1331774846710849536,NCAA SUN BELT,2,873461886535036928,Tommybuckets000,2,REBEL,1,1,276.36,278.18
2026,1331774846710849536,NCAA SUN BELT,3,739765296801390592,claym89,1,BIBLE,0,2,243.34,322.34
2026,1331774846710849536,NCAA SUN BELT,4,447283305738399744,lucchityler,2,REBEL,0,2,213.12,295.34
2026,1331774846710849536,NCAA SUN BELT,5,546466738316963840,PackMan1212,1,BIBLE,1,1,212.22,281.58
2026,1331774846710849536,NCAA SUN BELT,6,465019661495300096,Raidersforte,2,REBEL,1,1,277.44,284.16
2026,1331774846710849536,NCAA SUN BELT,7,547214728132608000,alphabeasttt,1,BIBLE,1,1,267.44,231.46
2026,1331774846710849536,NCAA SUN BELT,8,441362521463451648,yoboihawks,2,REBEL,1,1,310.98,263.42
2026,1331774846710849536,NCAA SUN BELT,9,380128482900062208,denvermanning,1,BIBLE,2,0,277.08,198.34
2026,1331774846710849536,NCAA SUN BELT,10,441330448283463680,Fr3shBC11,1,BIBLE,0,2,162.32,307.38
2026,1331774846710849536,NCAA SUN BELT,11,1235453121577111552,Resolhjk,1,BIBLE,2,0,371.88,193.18
2026,1331774846710849536,NCAA SUN BELT,12,465297932204109824,utsa,2,REBEL,2,0,272.88,227.64
2026,1331774804222545920,NCAA PIONEER,1,993737529142693888,doseofthestars,2,FREEDOM,0,2,236.0,289.12
2026,1331774804222545920,NCAA PIONEER,2,468638573403303936,DownLoMoJo,1,PATRIOT,0,2,221.22,250.76
2026,1331774804222545920,NCAA PIONEER,3,459110344502013952,MyFingerPoints,1,PATRIOT,1,1,308.64,244.4
2026,1331774804222545920,NCAA PIONEER,4,439351925129867264,Daphud,2,FREEDOM,0,2,196.1,302.42
2026,1331774804222545920,NCAA PIONEER,5,432164755709370368,EBurkhart,1,PATRIOT,1,1,197.28,248.2
2026,1331774804222545920,NCAA PIONEER,6,455753261765357568,BDAVIS309,1,PATRIOT,1,1,269.12,262.64
2026,1331774804222545920,NCAA PIONEER,7,398884413687001088,Ortizz,2,FREEDOM,0,2,197.54,254.28
2026,1331774804222545920,NCAA PIONEER,8,339931221767249920,CrownMeKing,2,FREEDOM,2,0,294.56,143.72
2026,1331774804222545920,NCAA PIONEER,9,602687087556231168,DictatorBerry,1,PATRIOT,2,0,275.16,256.64
2026,1331774804222545920,NCAA PIONEER,10,315736569111650304,JMullen175,2,FREEDOM,2,0,275.48,231.14
2026,1331774804222545920,NCAA PIONEER,11,325873712534421504,FatPat1251,1,PATRIOT,1,1,264.12,272.9
2026,1331774804222545920,NCAA PIONEER,12,739984250304135168,YikesOnBikes,2,FREEDOM,2,0,275.78,254.78
2026,1331774741488369664,NCAA IVY,1,470912510262767616,FlynnD,1,RICH,1,1,246.3,249.84
2026,1331774741488369664,NCAA IVY,2,730628287012921344,KennethNZ,2,SMART,0,2,194.3,272.34
2026,1331774741488369664,NCAA IVY,3,480124073456693248,Jrodr71,1,RICH,0,2,213.4,332.18
2026,1331774741488369664,NCAA IVY,4,570803989783429120,alecgagnon2001,2,SMART,2,0,267.8,250.82
2026,1331774741488369664,NCAA IVY,5,395321276102627328,ccassidy,1,RICH,1,1,328.06,268.86
