LeagueID,LeagueName,DraftID,Round,Pick_No,OverallPick,Picked_By,RosterID,PlayerID,FirstName,LastName,Team,Position,Status,YearsExp
644097339790827520,NCAA OHIO VALLEY,661770331417055232,4,47,83,472879969664495616,4,7585,Davis,Mills,HOU,QB,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,4,48,84,474662041341128704,5,7560,Pooka,Williams,,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,1,1,347683464398749696,9,4034,Christian,McCaffrey,CAR,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,2,2,327689364916146176,12,4035,Alvin,Kamara,NO,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,3,3,69768813763510272,8,4029,Dalvin,Cook,MIN,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,4,4,468944645166985216,3,3198,Derrick,Henry,TEN,RB,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,5,5,472879969664495616,4,6813,Jonathan,Taylor,IND,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,6,6,601198801197260800,2,4866,Saquon,Barkley,NYG,RB,Injured Reserve,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,7,7,635700695584043008,7,2133,Davante,Adams,GB,WR,Active,6
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,8,8,571753677428977664,1,4199,Aaron,Jones,GB,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,9,9,472879969664495616,4,6794,Justin,Jefferson,MIN,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,10,10,69768813763510272,8,4988,Nick,Chubb,CLE,RB,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,11,11,472879969664495616,4,6790,D'Andre,Swift,DET,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,1,12,12,638193564806897664,11,6806,J.K.,Dobbins,BAL,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,13,25,638193564806897664,11,6938,Cam,Akers,LAR,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,14,26,474662041341128704,5,3321,Tyreek,Hill,KC,WR,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,15,27,594242128851296256,10,4046,Patrick,Mahomes,KC,QB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,16,28,331558449374593024,6,5846,DK,Metcalf,SEA,WR,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,17,29,571753677428977664,1,5859,A.J.,Brown,TEN,WR,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,18,30,635700695584043008,7,3164,Ezekiel,Elliott,DAL,RB,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,19,31,601198801197260800,2,5850,Josh,Jacobs,LV,RB,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,20,32,474662041341128704,5,2449,Stefon,Diggs,BUF,WR,Active,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,21,33,468944645166985216,3,6151,Miles,Sanders,PHI,RB,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,22,34,69768813763510272,8,1426,DeAndre,Hopkins,ARI,WR,Active,7
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,23,35,327689364916146176,12,3199,Michael,Thomas,NO,WR,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,2,24,36,347683464398749696,9,5927,Terry,McLaurin,WAS,WR,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,25,49,347683464398749696,9,6945,Antonio,Gibson,WAS,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,26,50,327689364916146176,12,6820,Clyde,Edwards-Helaire,KC,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,27,51,331558449374593024,6,6786,CeeDee,Lamb,DAL,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,28,52,468944645166985216,3,4663,Austin,Ekeler,LAC,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,29,53,474662041341128704,5,4984,Josh,Allen,BUF,QB,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,30,54,601198801197260800,2,4217,George,Kittle,SF,TE,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,31,55,635700695584043008,7,4981,Calvin,Ridley,ATL,WR,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,32,56,571753677428977664,1,6955,James,Robinson,JAX,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,33,57,331558449374593024,6,4018,Joe,Mixon,CIN,RB,Injured Reserve,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,34,58,327689364916146176,12,1466,Travis,Kelce,KC,TE,Active,7
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,35,59,638193564806897664,11,5892,David,Montgomery,CHI,RB,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,3,36,60,638193564806897664,11,4037,Chris,Godwin,TB,WR,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,37,73,638193564806897664,11,6801,Tee,Higgins,CIN,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,38,74,601198801197260800,2,6803,Brandon,Aiyuk,SF,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,39,75,594242128851296256,10,6797,Justin,Herbert,LAC,QB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,40,76,331558449374593024,6,2505,Darren,Waller,LV,TE,Active,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,41,77,571753677428977664,1,1992,Allen,Robinson,CHI,WR,Active,6
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,42,78,635700695584043008,7,4983,D.J.,Moore,CAR,WR,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,43,79,472879969664495616,4,2309,Amari,Cooper,DAL,WR,Active,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,44,80,474662041341128704,5,4098,Kareem,Hunt,CLE,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,45,81,468944645166985216,3,5849,Kyler,Murray,ARI,QB,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,46,82,69768813763510272,8,6783,Jerry,Jeudy,DEN,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,47,83,327689364916146176,12,1479,Keenan,Allen,LAC,WR,Active,7
644097339790827520,NCAA OHIO VALLEY,644097340822597632,4,48,84,347683464398749696,9,6886,Chase,Claypool,PIT,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,49,97,69768813763510272,8,4273,Chris,Carson,SEA,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,50,98,327689364916146176,12,2216,Mike,Evans,TB,WR,Active,6
