Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,Division,DivisionName,Wins,Losses,PointsFor,PointsAgainst
2021,652822788075229184,NCAA USA,1,389658700735868928,dh671,2,TWISTER,4,7,1445.74,1459.12
2021,652822788075229184,NCAA USA,2,464625836192952320,brooksy33,1,GULF,4,7,1536.34,1584.46
2021,652822788075229184,NCAA USA,3,89528070197100544,DapperDave89,2,TWISTER,5,6,1496.98,1477.96
2021,652822788075229184,NCAA USA,4,332601596233928704,cschaller20,1,GULF,5,6,1365.0,1405.5
2021,652822788075229184,NCAA USA,5,651213088258883584,choov323,2,TWISTER,4,7,1182.66,1368.78
2021,652822788075229184,NCAA USA,6,560611777479667712,PatrickT21,2,TWISTER,3,8,1510.88,1596.46
2021,652822788075229184,NCAA USA,7,651857322645241856,ridinroundinarover,2,TWISTER,5,6,1368.2,1424.76
2021,652822788075229184,NCAA USA,8,605439246030925824,krichknowsbest,2,TWISTER,7,4,1609.66,1503.0
2021,652822788075229184,NCAA USA,9,645315608073805824,CantguardTW,1,GULF,8,3,1679.22,1477.08
2021,652822788075229184,NCAA USA,10,590358219562455040,woolba,1,GULF,10,1,1833.74,1513.38
2021,652822788075229184,NCAA USA,11,732763988848410624,ajisgoated,1,GULF,6,5,1462.32,1624.76
2021,652822788075229184,NCAA USA,12,650627977721245696,BroncoZzz,1,GULF,5,6,1450.66,1506.14
2021,652822724795764736,NCAA BIG EAST & CO.,1,606287974459600896,NoOneInSite,2,NORTHEAST,10,1,1556.58,1310.8
2021,652822724795764736,NCAA BIG EAST & CO.,2,389656085486649344,UrTrash,2,NORTHEAST,5,6,1531.36,1482.3
2021,652822724795764736,NCAA BIG EAST & CO.,3,333005257409847296,ikemendel,1,MIDEAST,8,3,1529.44,1363.3
2021,652822724795764736,NCAA BIG EAST & CO.,4,456129190995947520,vinceA762,1,MIDEAST,6,5,1563.7,1481.4
2021,652822724795764736,NCAA BIG EAST & CO.,5,526975488648601600,Potts15,2,NORTHEAST,1,10,1219.42,1585.52
2021,652822724795764736,NCAA BIG EAST & CO.,6,443323427143544832,joonbug,1,MIDEAST,4,7,1413.8,1483.06
2021,652822724795764736,NCAA BIG EAST & CO.,7,456159345906806784,CodeKhaos,2,NORTHEAST,6,5,1543.96,1343.12
2021,652822724795764736,NCAA BIG EAST & CO.,8,456167283761344512,Claser,2,NORTHEAST,9,2,1623.34,1370.0
2021,652822724795764736,NCAA BIG EAST & CO.,9,706954972784324608,TylerJudd1,1,MIDEAST,4,7,1244.08,1361.88
2021,652822724795764736,NCAA BIG EAST & CO.,10,338858684358623232,Psyclone,1,MIDEAST,4,7,1353.84,1395.68
2021,652822724795764736,NCAA BIG EAST & CO.,11,456182244336201728,Ianiners,2,NORTHEAST,6,5,1458.0,1407.9
2021,652822724795764736,NCAA BIG EAST & CO.,12,64174089933570048,ryno,1,MIDEAST,3,8,1190.5,1643.06
2021,652822666251710464,NCAA IVY,1,470912510262767616,FlynnD,1,RICH,9,2,1634.6,1225.4
2021,652822666251710464,NCAA IVY,2,,Unknown,2,SMART,8,3,1587.66,1382.3
2021,652822666251710464,NCAA IVY,3,480124073456693248,Jrodr71,1,RICH,8,3,1562.9,1394.5
2021,652822666251710464,NCAA IVY,4,570803989783429120,alecgagnon2001,2,SMART,1,10,1073.5,1564.36
2021,652822666251710464,NCAA IVY,5,395321276102627328,ccassidy,1,RICH,3,8,1280.66,1487.82
2021,652822666251710464,NCAA IVY,6,508415252621357056,ryanmchugh,2,SMART,6,5,1637.66,1576.64
2021,652822666251710464,NCAA IVY,7,463944449920069632,Spence24,1,RICH,5,6,1507.4,1432.84
