LeagueYear,league_id,weekNum,roster_id,lookupID,starter,starter_points,array_index,label
2021,6.44097e+17,14,1,6.44097e+18,2374,27.2,8,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,14,1,6.44097e+18,2168,12.2,9,
2021,6.44097e+17,14,1,6.44097e+18,7922,4.0,10,"Riley Patterson, K (MIA)"
2021,6.44097e+17,14,1,6.44097e+18,BAL,3.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,15,1,6.44097e+18,3294,9.58,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,15,1,6.44097e+18,4199,15.0,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,15,1,6.44097e+18,6955,17.8,3,
2021,6.44097e+17,15,1,6.44097e+18,5955,4.2,4,"Hunter Renfrow, WR (CAR)"
2021,6.44097e+17,15,1,6.44097e+18,1352,0.0,5,
2021,6.44097e+17,15,1,6.44097e+18,1144,7.5,6,
2021,6.44097e+17,15,1,6.44097e+18,5001,20.7,7,"Dalton Schultz, TE (HOU)"
2021,6.44097e+17,15,1,6.44097e+18,2374,0.0,8,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,15,1,6.44097e+18,2168,3.4,9,
2021,6.44097e+17,15,1,6.44097e+18,7922,14.0,10,"Riley Patterson, K (MIA)"
2021,6.44097e+17,15,1,6.44097e+18,BAL,2.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,16,1,6.44097e+18,3294,30.3,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,16,1,6.44097e+18,4199,13.7,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,16,1,6.44097e+18,6955,1.0,3,
2021,6.44097e+17,16,1,6.44097e+18,5955,13.0,4,"Hunter Renfrow, WR (CAR)"
2021,6.44097e+17,16,1,6.44097e+18,1352,0.0,5,
2021,6.44097e+17,16,1,6.44097e+18,1144,0.0,6,
2021,6.44097e+17,16,1,6.44097e+18,5001,22.2,7,"Dalton Schultz, TE (HOU)"
2021,6.44097e+17,16,1,6.44097e+18,2374,6.0,8,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,16,1,6.44097e+18,2168,10.0,9,
2021,6.44097e+17,16,1,6.44097e+18,7922,10.0,10,"Riley Patterson, K (MIA)"
2021,6.44097e+17,16,1,6.44097e+18,BAL,-1.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,17,1,6.44097e+18,3294,20.04,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,17,1,6.44097e+18,4199,15.6,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,17,1,6.44097e+18,6955,0.0,3,
2021,6.44097e+17,17,1,6.44097e+18,5955,20.6,4,"Hunter Renfrow, WR (CAR)"
2021,6.44097e+17,17,1,6.44097e+18,1352,0.0,5,
2021,6.44097e+17,17,1,6.44097e+18,1144,6.2,6,
2021,6.44097e+17,17,1,6.44097e+18,5001,11.4,7,"Dalton Schultz, TE (HOU)"
2021,6.44097e+17,17,1,6.44097e+18,2374,12.1,8,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,17,1,6.44097e+18,2168,8.7,9,
